State,district,date,confirmed,active,recovered,deceased
Andaman and Nicobar Islands,North and Middle Andaman,2020-04-21,1,0,1,0
Andaman and Nicobar Islands,North and Middle Andaman,2020-04-22,1,0,1,0
Andaman and Nicobar Islands,North and Middle Andaman,2020-04-23,1,0,1,0
Andaman and Nicobar Islands,North and Middle Andaman,2020-04-24,1,0,1,0
Andaman and Nicobar Islands,North and Middle Andaman,2020-04-25,1,0,1,0
Andaman and Nicobar Islands,North and Middle Andaman,2020-04-26,1,0,1,0
Andaman and Nicobar Islands,North and Middle Andaman,2020-04-27,1,0,1,0
Andaman and Nicobar Islands,North and Middle Andaman,2020-04-28,1,0,1,0
Andaman and Nicobar Islands,North and Middle Andaman,2020-04-29,1,0,1,0
Andaman and Nicobar Islands,North and Middle Andaman,2020-04-30,1,0,1,0
Andaman and Nicobar Islands,North and Middle Andaman,2020-05-01,1,0,1,0
Andaman and Nicobar Islands,North and Middle Andaman,2020-05-02,1,0,1,0
Andaman and Nicobar Islands,North and Middle Andaman,2020-05-03,1,0,1,0
Andaman and Nicobar Islands,North and Middle Andaman,2020-05-04,1,0,1,0
Andaman and Nicobar Islands,North and Middle Andaman,2020-05-05,1,0,1,0
Andaman and Nicobar Islands,North and Middle Andaman,2020-05-06,1,0,1,0
Andaman and Nicobar Islands,North and Middle Andaman,2020-05-07,1,0,1,0
Andaman and Nicobar Islands,North and Middle Andaman,2020-05-08,1,0,1,0
Andaman and Nicobar Islands,North and Middle Andaman,2020-05-09,1,0,1,0
Andaman and Nicobar Islands,North and Middle Andaman,2020-05-10,1,0,1,0
Andaman and Nicobar Islands,North and Middle Andaman,2020-05-11,1,0,1,0
Andaman and Nicobar Islands,North and Middle Andaman,2020-05-12,1,0,1,0
Andaman and Nicobar Islands,North and Middle Andaman,2020-05-13,1,0,1,0
Andaman and Nicobar Islands,North and Middle Andaman,2020-05-14,1,0,1,0
Andaman and Nicobar Islands,North and Middle Andaman,2020-05-15,1,0,1,0
Andaman and Nicobar Islands,North and Middle Andaman,2020-05-16,1,0,1,0
Andaman and Nicobar Islands,South Andaman,2020-04-21,15,5,10,0
Andaman and Nicobar Islands,South Andaman,2020-04-22,16,6,10,0
Andaman and Nicobar Islands,South Andaman,2020-04-23,20,10,10,0
Andaman and Nicobar Islands,South Andaman,2020-04-24,27,17,10,0
Andaman and Nicobar Islands,South Andaman,2020-04-25,32,22,10,0
Andaman and Nicobar Islands,South Andaman,2020-04-26,32,22,10,0
Andaman and Nicobar Islands,South Andaman,2020-04-27,32,22,10,0
Andaman and Nicobar Islands,South Andaman,2020-04-28,32,18,14,0
Andaman and Nicobar Islands,South Andaman,2020-04-29,32,18,14,0
Andaman and Nicobar Islands,South Andaman,2020-04-30,32,17,15,0
Andaman and Nicobar Islands,South Andaman,2020-05-01,32,17,15,0
Andaman and Nicobar Islands,South Andaman,2020-05-02,32,7,25,0
Andaman and Nicobar Islands,South Andaman,2020-05-03,32,1,31,0
Andaman and Nicobar Islands,South Andaman,2020-05-04,32,1,31,0
Andaman and Nicobar Islands,South Andaman,2020-05-05,32,1,31,0
Andaman and Nicobar Islands,South Andaman,2020-05-06,32,1,31,0
Andaman and Nicobar Islands,South Andaman,2020-05-07,32,0,32,0
Andaman and Nicobar Islands,South Andaman,2020-05-08,32,0,32,0
Andaman and Nicobar Islands,South Andaman,2020-05-09,32,0,32,0
Andaman and Nicobar Islands,South Andaman,2020-05-10,32,0,32,0
Andaman and Nicobar Islands,South Andaman,2020-05-11,32,0,32,0
Andaman and Nicobar Islands,South Andaman,2020-05-12,32,0,32,0
Andaman and Nicobar Islands,South Andaman,2020-05-13,32,0,32,0
Andaman and Nicobar Islands,South Andaman,2020-05-14,32,0,32,0
Andaman and Nicobar Islands,South Andaman,2020-05-15,32,0,32,0
Andaman and Nicobar Islands,South Andaman,2020-05-16,32,0,32,0
Andaman and Nicobar Islands,Unknown,2020-04-21,1,1,0,0
Andaman and Nicobar Islands,Unknown,2020-04-22,1,1,0,0
Andaman and Nicobar Islands,Unknown,2020-04-23,1,1,0,0
Andaman and Nicobar Islands,Unknown,2020-04-24,1,1,0,0
Andaman and Nicobar Islands,Nicobars,2020-05-13,0,0,0,0
Andaman and Nicobar Islands,Nicobars,2020-05-14,0,0,0,0
Andaman and Nicobar Islands,Nicobars,2020-05-15,0,0,0,0
Andaman and Nicobar Islands,Nicobars,2020-05-16,0,0,0,0
Andhra Pradesh,Anantapur,2020-04-21,36,31,2,3
Andhra Pradesh,Anantapur,2020-04-22,36,31,2,3
Andhra Pradesh,Anantapur,2020-04-23,42,32,7,3
Andhra Pradesh,Anantapur,2020-04-24,46,31,11,4
Andhra Pradesh,Anantapur,2020-04-25,51,34,13,4
Andhra Pradesh,Anantapur,2020-04-26,53,35,14,4
Andhra Pradesh,Anantapur,2020-04-27,53,35,14,4
Andhra Pradesh,Anantapur,2020-04-28,54,36,14,4
Andhra Pradesh,Anantapur,2020-04-29,58,37,17,4
Andhra Pradesh,Anantapur,2020-04-30,61,37,20,4
Andhra Pradesh,Anantapur,2020-05-01,67,41,22,4
Andhra Pradesh,Anantapur,2020-05-02,71,43,24,4
Andhra Pradesh,Anantapur,2020-05-03,78,50,24,4
Andhra Pradesh,Anantapur,2020-05-04,78,50,24,4
Andhra Pradesh,Anantapur,2020-05-05,80,52,24,4
Andhra Pradesh,Anantapur,2020-05-06,80,42,34,4
Andhra Pradesh,Anantapur,2020-05-07,83,40,39,4
Andhra Pradesh,Anantapur,2020-05-08,99,53,42,4
Andhra Pradesh,Anantapur,2020-05-09,102,54,44,4
Andhra Pradesh,Anantapur,2020-05-10,107,58,45,4
Andhra Pradesh,Anantapur,2020-05-11,115,66,45,4
Andhra Pradesh,Anantapur,2020-05-12,115,63,48,4
Andhra Pradesh,Anantapur,2020-05-13,118,65,49,4
Andhra Pradesh,Anantapur,2020-05-14,118,62,52,4
Andhra Pradesh,Anantapur,2020-05-15,122,62,56,4
Andhra Pradesh,Anantapur,2020-05-16,122,25,93,4
Andhra Pradesh,Chittoor,2020-04-21,53,49,4,0
Andhra Pradesh,Chittoor,2020-04-22,59,55,4,0
Andhra Pradesh,Chittoor,2020-04-23,73,62,11,0
Andhra Pradesh,Chittoor,2020-04-24,73,62,11,0
Andhra Pradesh,Chittoor,2020-04-25,73,62,11,0
Andhra Pradesh,Chittoor,2020-04-26,73,60,13,0
Andhra Pradesh,Chittoor,2020-04-27,73,57,16,0
Andhra Pradesh,Chittoor,2020-04-28,74,58,16,0
Andhra Pradesh,Chittoor,2020-04-29,77,61,16,0
Andhra Pradesh,Chittoor,2020-04-30,80,64,16,0
Andhra Pradesh,Chittoor,2020-05-01,80,58,22,0
Andhra Pradesh,Chittoor,2020-05-02,80,56,24,0
Andhra Pradesh,Chittoor,2020-05-03,81,44,37,0
Andhra Pradesh,Chittoor,2020-05-04,82,37,45,0
Andhra Pradesh,Chittoor,2020-05-05,82,34,48,0
Andhra Pradesh,Chittoor,2020-05-06,82,14,68,0
Andhra Pradesh,Chittoor,2020-05-07,82,14,68,0
Andhra Pradesh,Chittoor,2020-05-08,85,11,74,0
Andhra Pradesh,Chittoor,2020-05-09,96,22,74,0
Andhra Pradesh,Chittoor,2020-05-10,112,38,74,0
Andhra Pradesh,Chittoor,2020-05-11,121,47,74,0
Andhra Pradesh,Chittoor,2020-05-12,131,57,74,0
Andhra Pradesh,Chittoor,2020-05-13,142,68,74,0
Andhra Pradesh,Chittoor,2020-05-14,151,74,77,0
Andhra Pradesh,Chittoor,2020-05-15,165,88,77,0
Andhra Pradesh,Chittoor,2020-05-16,173,96,77,0
Andhra Pradesh,East Godavari,2020-04-21,26,18,8,0
Andhra Pradesh,East Godavari,2020-04-22,26,18,8,0
Andhra Pradesh,East Godavari,2020-04-23,32,24,8,0
Andhra Pradesh,East Godavari,2020-04-24,34,26,8,0
Andhra Pradesh,East Godavari,2020-04-25,37,25,12,0
Andhra Pradesh,East Godavari,2020-04-26,39,27,12,0
Andhra Pradesh,East Godavari,2020-04-27,39,27,12,0
Andhra Pradesh,East Godavari,2020-04-28,39,27,12,0
Andhra Pradesh,East Godavari,2020-04-29,40,28,12,0
Andhra Pradesh,East Godavari,2020-04-30,42,28,14,0
Andhra Pradesh,East Godavari,2020-05-01,42,25,17,0
Andhra Pradesh,East Godavari,2020-05-02,45,28,17,0
Andhra Pradesh,East Godavari,2020-05-03,45,25,20,0
Andhra Pradesh,East Godavari,2020-05-04,45,23,22,0
Andhra Pradesh,East Godavari,2020-05-05,45,23,22,0
