Date,Status,Delhi,Gujurat,Maharashtra,Tamil Nadu
14-Mar-20,Confirmed,7,0,14,1
14-Mar-20,Recovered,1,0,0,0
14-Mar-20,Deceased,1,0,0,0
15-Mar-20,Confirmed,0,0,18,0
15-Mar-20,Recovered,1,0,0,0
15-Mar-20,Deceased,0,0,0,0
16-Mar-20,Confirmed,0,0,6,0
16-Mar-20,Recovered,0,0,0,1
16-Mar-20,Deceased,0,0,0,0
17-Mar-20,Confirmed,1,0,3,0
17-Mar-20,Recovered,0,0,0,0
17-Mar-20,Deceased,0,0,1,0
18-Mar-20,Confirmed,2,0,3,1
18-Mar-20,Recovered,0,0,0,0
18-Mar-20,Deceased,0,0,0,0
19-Mar-20,Confirmed,4,2,4,1
19-Mar-20,Recovered,1,0,0,0
19-Mar-20,Deceased,0,0,0,0
20-Mar-20,Confirmed,6,5,4,0
20-Mar-20,Recovered,2,0,0,0
20-Mar-20,Deceased,0,0,0,0
21-Mar-20,Confirmed,7,7,12,3
21-Mar-20,Recovered,0,0,0,0
21-Mar-20,Deceased,0,0,0,0
22-Mar-20,Confirmed,0,4,10,3
22-Mar-20,Recovered,0,0,0,0
22-Mar-20,Deceased,0,1,1,0
23-Mar-20,Confirmed,3,12,23,3
23-Mar-20,Recovered,0,0,0,0
23-Mar-20,Deceased,0,0,0,0
24-Mar-20,Confirmed,0,4,10,6
24-Mar-20,Recovered,1,0,0,0
24-Mar-20,Deceased,0,0,0,1
25-Mar-20,Confirmed,5,4,15,8
25-Mar-20,Recovered,0,0,1,0
25-Mar-20,Deceased,0,0,0,0
26-Mar-20,Confirmed,1,5,3,3
26-Mar-20,Recovered,0,0,0,0
26-Mar-20,Deceased,0,2,1,0
27-Mar-20,Confirmed,4,4,31,9
27-Mar-20,Recovered,0,0,18,1
27-Mar-20,Deceased,0,0,1,0
28-Mar-20,Confirmed,9,8,30,4
28-Mar-20,Recovered,0,0,6,0
28-Mar-20,Deceased,0,1,2,0
29-Mar-20,Confirmed,23,8,17,8
29-Mar-20,Recovered,0,1,0,0
29-Mar-20,Deceased,1,1,1,0
30-Mar-20,Confirmed,25,7,17,17
30-Mar-20,Recovered,0,2,14,2
30-Mar-20,Deceased,0,1,2,0
